Site No.,State,District,Location,Pin code,Lat,Long,Address
1205,Gujarat,MEHSANA,Nandasan,384002,12.821242,77.785957,"Survey No. 1234 Paiki, NandasanMehsanaNandasan384002Gujarat"
1206,Gujarat,SABAR KANTHA,Bhiloda,383245,14.221444,78.543323,Survey No. 371 / 1State Highway No. 145SabarKanthaBhiloda383245Gujarat
1207,Gujarat,VADODARA,Bhayli,391410,15.911224,79.817673,"Final Plot No.68, BhayliVadodaraBhayli391410Gujarat"
1208,Gujarat,NARMADA,Nandod,388307,29.09486,77.979042,"Nr. Garudeshwar Char Rasta,Ta. Nandod,NarmadaNandod388307Gujarat"
1209,Gujarat,PATAN,Santalpur,365610,23.928468,73.938968,Village : SantalpurPatanSantalpur365610Gujarat
1210,Gujarat,AHMEDABAD,Sanand-IYAVA,382170,21.482596,69.931768,Survey No. 147/AhmedabadSanand-IYAVA382170Gujarat
1211,Gujarat,JAMNAGAR,Indira Marg,361004,27.436654,78.02171117,"Indira Marg, GJ10Near Hariya CollegeJamnagarIndira Marg361004Gujarat"
1212,Gujarat,JAMNAGAR,Sarmat Patiya,383450,27.930502,77.509753,Near Sarmat PatiaJamnagar Okha RoadJamnagarSarmat Patiya383450Gujarat
1213,Gujarat,JAMNAGAR,Jamnagar,361305,12.27326,78.721856,"Survey No- 77/P,Village Jakhar,JamnagarJamnagar361305Gujarat"
1214,Gujarat,SURAT,Surat,395005,13.151118,76.304808,SuratSurat395005Gujarat
1215,Gujarat,VADODARA,Vadodara,390009,25.834371,76.012508,"Tarsali, G32VadodaraVadodara390009Gujarat"
1216,Gujarat,RAJKOT,Morbi,363641,17.33031,78.6079,"Survey No. 1141, Shit No. 89MorbiRajkotMorbi363641Gujarat"
1217,Gujarat,BHAVNAGAR,Bhavnagar,363421,31.338055,74.701944,"Taluka–Umrala,BhavnagarBhavnagar363421Gujarat"
1218,Gujarat,KHEDA,Kheda,387630,22.607074,72.883428,"Taluka: Kathlal,KhedaKheda387630Gujarat"
1219,Gujarat,TAPI,Tapi,394370,23.443,73.1569,"Village-Pati Bandhara,Taluka-Uchchhal,TapiTapi394370Gujarat"
1220,Gujarat,MAHISAGAR,Mahisagar,388260,12.345206,78.457432,"Taluka. Khanpur,MahisagarMahisagar388260Gujarat"
1221,Gujarat,AMRELI,Amreli,365430,14.258846,79.594721,"Taluka : Lathi,AmreliAmreli365430Gujarat"
1222,Gujarat,KACHCHH,Kutch,370415,13.821339,79.584753,"Taluka-Mundra, District-KutchKutchKutch370415Gujarat"
1223,Gujarat,BOTAD,Botad,365535,30.445176,77.6382482,"Taluka – Ranpur,BotadBotad365535Gujarat"
1224,Gujarat,KACHCHH,Kutch,370110,14.897601,80.042137,Outside Devalia GateKutchAnjar370110Gujarat
